student_id,assignment_id,question_id,mark,max_mark,marked_at
s001,A1,1,9,10,2025-03-01
s001,A1,2,8,10,2025-03-01
s001,A1,3,8,10,2025-03-01
s001,A2,1,19,20,2025-04-10
s001,A2,2,17,20,2025-04-10
s001,A2,3,16,20,2025-04-10
s001,A3,1,25,30,2025-05-15
s001,A3,2,27,30,2025-05-15
s001,A3,3,28,30,2025-05-15
s002,A1,1,6,10,2025-03-01
s002,A1,2,7,10,2025-03-01
s002,A1,3,8,10,2025-03-01
s002,A2,1,16,20,2025-04-10
s002,A2,2,14,20,2025-04-10
s002,A2,3,17,20,2025-04-10
s002,A3,1,16,30,2025-05-15
s002,A3,2,22,30,2025-05-15
s002,A3,3,19,30,2025-05-15
s003,A1,1,6,10,2025-03-01
s003,A1,2,5,10,2025-03-01
s003,A1,3,6,10,2025-03-01
s003,A2,1,12,20,2025-04-10
s003,A2,2,2,20,2025-04-10
s003,A2,3,3,20,2025-04-10
s003,A3,1,13,30,2025-05-15
s003,A3,2,4,30,2025-05-15
s003,A3,3,17,30,2025-05-15
s004,A1,1,6,10,2025-03-01
s004,A1,2,6,10,2025-03-01
s004,A1,3,9,10,2025-03-01
s004,A2,1,10,20,2025-04-10
s004,A2,2,14,20,2025-04-10
s004,A2,3,17,20,2025-04-10
s004,A3,1,15,30,2025-05-15
s004,A3,2,15,30,2025-05-15
s004,A3,3,16,30,2025-05-15
s005,A1,1,7,10,2025-03-01
s005,A1,2,8,10,2025-03-01
s005,A1,3,6,10,2025-03-01
s005,A2,1,17,20,2025-04-10
s005,A2,2,18,20,2025-04-10
s005,A2,3,17,20,2025-04-10
s005,A3,1,24,30,2025-05-15
s005,A3,2,17,30,2025-05-15
s005,A3,3,17,30,2025-05-15
s006,A1,1,10,10,2025-03-01
s006,A1,2,9,10,2025-03-01
s006,A1,3,10,10,2025-03-01
s006,A2,1,19,20,2025-04-10
s006,A2,2,20,20,2025-04-10
s006,A2,3,16,20,2025-04-10
s006,A3,1,27,30,2025-05-15
s006,A3,2,29,30,2025-05-15
s006,A3,3,24,30,2025-05-15
s007,A1,1,9,10,2025-03-01
s007,A1,2,5,10,2025-03-01
s007,A1,3,6,10,2025-03-01
s007,A2,1,13,20,2025-04-10
s007,A2,2,17,20,2025-04-10
s007,A2,3,12,20,2025-04-10
s007,A3,1,15,30,2025-05-15
s007,A3,2,22,30,2025-05-15
s007,A3,3,24,30,2025-05-15
s008,A1,1,7,10,2025-03-01
s008,A1,2,9,10,2025-03-01
s008,A1,3,9,10,2025-03-01
s008,A2,1,11,20,2025-04-10
s008,A2,2,13,20,2025-04-10
s008,A2,3,11,20,2025-04-10
s008,A3,1,25,30,2025-05-15
s008,A3,2,23,30,2025-05-15
s008,A3,3,23,30,2025-05-15
s009,A1,1,4,10,2025-03-01
s009,A1,2,5,10,2025-03-01
s009,A1,3,2,10,2025-03-01
s009,A2,1,10,20,2025-04-10
s009,A2,2,11,20,2025-04-10
s009,A2,3,12,20,2025-04-10
s009,A3,1,1,30,2025-05-15
s009,A3,2,5,30,2025-05-15
s009,A3,3,16,30,2025-05-15
s010,A1,1,2,10,2025-03-01
s010,A1,2,5,10,2025-03-01
s010,A1,3,5,10,2025-03-01
s010,A2,1,1,20,2025-04-10
s010,A2,2,3,20,2025-04-10
s010,A2,3,0,20,2025-04-10
s010,A3,1,4,30,2025-05-15
s010,A3,2,9,30,2025-05-15
s010,A3,3,10,30,2025-05-15
s011,A1,1,10,10,2025-03-01
s011,A1,2,9,10,2025-03-01
s011,A1,3,10,10,2025-03-01
s011,A2,1,19,20,2025-04-10
s011,A2,2,16,20,2025-04-10
s011,A2,3,20,20,2025-04-10
s011,A3,1,26,30,2025-05-15
s011,A3,2,29,30,2025-05-15
s011,A3,3,29,30,2025-05-15
s012,A1,1,10,10,2025-03-01
s012,A1,2,9,10,2025-03-01
s012,A1,3,9,10,2025-03-01
s012,A2,1,20,20,2025-04-10
s012,A2,2,16,20,2025-04-10
s012,A2,3,18,20,2025-04-10
s012,A3,1,27,30,2025-05-15
s012,A3,2,29,30,2025-05-15
s012,A3,3,25,30,2025-05-15
s013,A1,1,10,10,2025-03-01
s013,A1,2,8,10,2025-03-01
s013,A1,3,10,10,2025-03-01
s013,A2,1,17,20,2025-04-10
s013,A2,2,16,20,2025-04-10
s013,A2,3,20,20,2025-04-10
s013,A3,1,30,30,2025-05-15
s013,A3,2,30,30,2025-05-15
s013,A3,3,28,30,2025-05-15
s014,A1,1,0,10,2025-03-01
s014,A1,2,6,10,2025-03-01
s014,A1,3,4,10,2025-03-01
s014,A2,1,2,20,2025-04-10
s014,A2,2,0,20,2025-04-10
s014,A2,3,5,20,2025-04-10
s014,A3,1,4,30,2025-05-15
s014,A3,2,12,30,2025-05-15
s014,A3,3,16,30,2025-05-15
s015,A1,1,2,10,2025-03-01
s015,A1,2,3,10,2025-03-01
s015,A1,3,2,10,2025-03-01
s015,A2,1,7,20,2025-04-10
s015,A2,2,4,20,2025-04-10
s015,A2,3,8,20,2025-04-10
s015,A3,1,0,30,2025-05-15
s015,A3,2,13,30,2025-05-15
s015,A3,3,8,30,2025-05-15
s016,A1,1,8,10,2025-03-01
s016,A1,2,8,10,2025-03-01
s016,A1,3,10,10,2025-03-01
s016,A2,1,19,20,2025-04-10
s016,A2,2,19,20,2025-04-10
s016,A2,3,19,20,2025-04-10
s016,A3,1,27,30,2025-05-15
s016,A3,2,25,30,2025-05-15
s016,A3,3,24,30,2025-05-15
s017,A1,1,0,10,2025-03-01
s017,A1,2,2,10,2025-03-01
s017,A1,3,3,10,2025-03-01
s017,A2,1,11,20,2025-04-10
s017,A2,2,7,20,2025-04-10
s017,A2,3,11,20,2025-04-10
s017,A3,1,10,30,2025-05-15
s017,A3,2,0,30,2025-05-15
s017,A3,3,11,30,2025-05-15
s018,A1,1,8,10,2025-03-01
s018,A1,2,9,10,2025-03-01
s018,A1,3,8,10,2025-03-01
s018,A2,1,19,20,2025-04-10
s018,A2,2,19,20,2025-04-10
s018,A2,3,16,20,2025-04-10
s018,A3,1,27,30,2025-05-15
s018,A3,2,26,30,2025-05-15
s018,A3,3,25,30,2025-05-15
s019,A1,1,6,10,2025-03-01
s019,A1,2,7,10,2025-03-01
s019,A1,3,8,10,2025-03-01
s019,A2,1,15,20,2025-04-10
s019,A2,2,12,20,2025-04-10
s019,A2,3,17,20,2025-04-10
s019,A3,1,27,30,2025-05-15
s019,A3,2,23,30,2025-05-15
s019,A3,3,26,30,2025-05-15
s020,A1,1,9,10,2025-03-01
s020,A1,2,10,10,2025-03-01
s020,A1,3,10,10,2025-03-01
s020,A2,1,18,20,2025-04-10
s020,A2,2,16,20,2025-04-10
s020,A2,3,19,20,2025-04-10
s020,A3,1,30,30,2025-05-15
s020,A3,2,26,30,2025-05-15
s020,A3,3,27,30,2025-05-15
